block_id,property_id,base_property_id,building_address,postcode,parking_spaces,longitude,latitude
247,106237,106237,204-218 Lygon Street CARLTON VIC 3053,3053,408,144.9671430803723,-37.802187640149995
734,110465,110465,71-75 Clarke Street SOUTHBANK VIC 3006,3006,253,144.96007278099006,-37.8280003958
1108,573414,573414,National@Docklands 788-812 Bourke Street DOCKLANDS VIC 3008,3008,60,144.94507997263105,-37.8188510467
11,103957,103957,517-537 Flinders Lane MELBOURNE VIC 3000,3000,117,144.95648638781466,-37.819875445799994
16,104018,104018,172-192 Flinders Street MELBOURNE VIC 3000,3000,895,144.96856313995937,-37.8166026714
24,102089,102089,327-343 Collins Street MELBOURNE VIC 3000,3000,169,144.9632685535,-37.817049064147554
47,625840,103597,111-129 Bourke Street MELBOURNE VIC 3000,3000,398,144.97010937553796,-37.81281419155
54,101187,101187,392-406 Bourke Street MELBOURNE VIC 3000,3000,308,144.96173824055,-37.81422024016241
64,108102,108102,200-222 Queen Street MELBOURNE VIC 3000,3000,427,144.96047245985,-37.81345752336201
68,103620,103620,196-226 Exhibition Street MELBOURNE VIC 3000,3000,479,144.97048167014998,-37.810474703008225
83,106036,106036,364-378 Little Lonsdale Street MELBOURNE VIC 3000,3000,107,144.95842621992747,-37.8120004369
114,109493,109493,452-468 Queen Street MELBOURNE VIC 3000,3000,507,144.9584857015114,-37.80786989635
265,109845,109845,RMIT Building 91 110-120 Victoria Street CARLTON VIC 3053,3053,200,144.96369848185,-37.8063242669881
736,110412,110412,127-129 Kavanagh Street SOUTHBANK VIC 3006,3006,60,144.96202856798214,-37.8266002264
804,623557,110484,Melbourne Exhibition Centre 2 Clarendon Street SOUTH WHARF VIC 3006,3006,1696,144.95231929429832,-37.8254299844
804,110538,110538,112-168 Normanby Road SOUTH WHARF VIC 3006,3006,688,144.94993759230016,-37.8268072741
1110,593729,593729,The District Docklands East Car Park 50-94 Waterfront Way DOCKLANDS VIC 3008,3008,2236,144.93944446094207,-37.81215074975
6,578328,573333,Carpark Federation Square 2 Swanston Street MELBOURNE VIC 3000,3000,450,144.96994164279243,-37.817777826050005
12,103997,103997,472-482 Flinders Street MELBOURNE VIC 3000,3000,330,144.95827113270002,-37.819727590225824
14,101099,101099,16-26 Bond Street MELBOURNE VIC 3000,3000,461,144.9630578698032,-37.81814585805
23,606103,606103,388-394 Flinders Lane MELBOURNE VIC 3000,3000,38,144.96105818865,-37.81799063633014
34,102135,102135,344-350 Collins Street MELBOURNE VIC 3000,3000,65,144.96268877625,-37.81601648208985
36,108534,108534,150-154 Collins Street MELBOURNE VIC 3000,3000,61,144.9681766079,-37.81418558687795
58,103621,103621,174-192 Exhibition Street MELBOURNE VIC 3000,3000,150,144.97059788809,-37.8112189809
62,105861,105861,548-558 Little Bourke Street MELBOURNE VIC 3000,3000,335,144.95594150995,-37.814921240455575
85,105745,103309,322 Lonsdale Street MELBOURNE VIC 3000,3000,312,144.96260342635097,-37.8115766472
97,103615,103615,333-351 Exhibition Street MELBOURNE VIC 3000,3000,742,144.96805995219304,-37.80780089184999
131,103978,103978,18-38 Siddeley Street DOCKLANDS VIC 3008,3008,290,144.95381592020982,-37.8227465515
